SentBase;SentFull;SentFrench;SentAudio;VocabBase;VocabFull;VocabDef;VocabAudio;Image;Focus;Tags;Note
لا <b>أوافقك</b> الرأي;لَا <b>أَوَافَقَكَ</b> الرَّأْي;Je ne suis pas d'accord avec toi.;;أوافقك;أَوَافَقَكَ;toi;;;233;F2K;
<b>طقس</b> اليوم جميل;<b>طَقْسُ</b> الْيَوْمِ جَمِيلٌ;Il fait beau aujourd'hui.;;طقس;طَقْسٌ;fait;;;234;F2K;
<b>الجو</b> صحو هذا اليوم;<b>الْجَوُّ</b> صَحْوَ هَذَا الْيَوْمِ;Il fait beau aujourd'hui.;;الجو;الْجَوُّ;fait;;;235;F2K;
أبي لا <b>يحب</b> كرة القدم;أَبِيٌّ لَا <b>يُحِبُّ</b> كُرَةُ الْقَدَمِ;Mon père n'aime pas le foot.;;يحب;يُحِبُّ;n'aime;;;236;F2K;
<b>انتخبناها</b> مديرة لفريقنا;<b>اِنْتَخَبْنَاهَا</b> مُدِيرَةً لِفَرِيقَنَا;Nous l'avons élue capitaine de notre équipe.;;انتخبناها;اِنْتَخَبْنَاهَا;équipe;;;237;F2K;
لا <b>أظن</b> أنها تشبه أمها;لَا <b>أَظَنٌّ</b> أَنّهَا تُشَبِّهُ أُمَّهَا;Je ne pense pas qu'elle ressemble à sa mère.;;أظن;أَظَنَّ;pense;;;238;F2K;
<b>الفتى</b> الذي أحبه لا يحبني;<b>الْفَتَى</b> الَّذِي أَحَبَّهُ لَا يُحِبُّنِي;Le garçon que j'aime ne m'aime pas.;;الفتى;الْفَتَى;j'aime;;;239;F2K;
<b>سأبقى</b> في الفندق حاليّا;<b>سَأُبْقَى</b> فِي الْفُنْدُقِ حَالِيًّا;Je reste à l'hôtel pour le moment.;;سأبقى;سَأَبْقَى;reste;;;240;F2K;
<b>سأقاتل</b> حتّى آخررمق;<b>سَأُقَاتِلُ</b> حتَّى آْخَرَرَمَقْ;Je me battrai jusqu'au dernier souffle.;;سأقاتل;سَأُقَاتِلُ;souffle;;;241;F2K;
<b>سبق</b> لي و أن زرت هذا المتجر;<b>سَبْقٌ</b> لِي وْ أَنّ زُرْتُ هَذَا الْمَتْجَرِ;Je suis allé à ce magasin avant.;;سبق;سَبْقٌ;magasin;;;242;F2K;
يتكلم <b>بسرعة</b>;يَتَكَلَّمُ <b>بِسُرْعَةٍ</b>;Il parle vite.;;بسرعة;بِسُرْعَةٍ;vite;;;243;F2K;
<b>قررت</b> الذهاب إلى أمريكا بدلا من أوروبا;<b>قَرَّرَتْ</b> الذَّهَابُ إِلَى أَمْرِيكَا بَدَلًا مِن أُورُوبَّا;J'ai décidé d'aller en Amérique plutôt qu'en Europe.;;قررت;قَرَّرَتْ;d'aller;;;244;F2K;
إنه وسيم و <b>ذكي</b>;إِنّهُ وَسِيمَ وْ <b>ذَكِيٌّ</b>;Il est beau et intelligent.;;ذكي;ذَكِيٌّ;intelligent;;;245;F2K;
هذه القلعة <b>جميلة</b>;هَذِه الْقَلْعَةُ <b>جَمِيلَةٌ</b>;Ce château est beau.;;جميلة;جَمِيلَةٌ;est;;;246;F2K;
موريتانيا <b>بلد</b> جميل جداً;مُورِيتَانْيَا <b>بَلَدِ</b> جَمِيلِ جِدًّا;La Mauritanie est un très beau pays.;;بلد;بَلَدٌ;pays;;;247;F2K;
طقس <b>اليوم</b> جميل;طَقْسُ <b>الْيَوْمِ</b> جَمِيلٌ;Il fait beau aujourd'hui.;;اليوم;الْيَوْمُ;aujourd'hui;;;248;F2K;
منزلي <b>كبير</b>;مَنْزِلُي <b>كَبِيرٌ</b>;Ma maison est grande.;;كبير;كَبِيرٌ;grande;;;249;F2K;
أنظر إلى هذا <b>المنزل</b>;أَنَظَرٌ إِلَى هَذَا <b>الْمَنْزِلِ</b>;Regarde cette maison.;;المنزل;الْمَنْزِلُ;maison;;;250;F2K;
مرحباً <b>بك</b> في المنزل;مُرْحِبًا <b>بِك</b> فِي الْمَنْزِلِ;Bienvenue à la maison.;;بك;بِك;Bienvenue;;;251;F2K;
لا أحب <b>المدرسة</b>;لَا أَحُبَّ <b>الْمَدْرَسَةِ</b>;Je n'aime pas l'école.;;المدرسة;الْمَدْرَسَةُ;l'école;;;252;F2K;
هل يمكن أن <b>تضع</b> إسمي على قائمة الانتظار؟;هَل يَمِّكُنَّ أَن <b>تَضَعُ</b> إِسْمِي عَلَى قَائِمَةِ الْاِنْتِظَارِ ؟;Pourrais-tu ajouter mon nom à la liste d'attente ?;;تضع;تَضَعُ;Pourrais-tu;;;253;F2K;
<b>ضحك</b>;<b>ضَحِكَ</b>;Il a ri.;;ضحك;ضَحِكَ;ri;;;254;F2K;
هل <b>يمكنك</b> أخذ هذا من فضلك؟;هَلٌّ <b>يُمْكِنُكَ</b> أَخَذ هَذَا مِن فَضْلِكَ ؟;Peux-tu prendre ça s'il te plaît ?;;يمكنك;يُمْكِنُكَ;peux-tu;;;255;F2K;
لقد <b>تغيّر</b> شكلك حتى إني وجدت صعوبة في التعرف عليك;لِقَدَّ <b>تَغَيُّرُ</b> شَكْلِكَ حَتَّى إنْي وَجَدَتْ صُعُوبَةٌ فِي التَّعَرُّفِ عَلَيْكَ;Tu as tellement changé que j'ai du mal à te reconnaître.;;تغيّر;تَغَيَّرَ;tellement;;;256;F2K;
<b>العربية</b> تُتَكَلَّمُ في السعودية;<b>الْعَرَبِيَّةُ</b> تُتَكَلَّمُ فِي السُّعُودِيَّةِ;L'arabe est parlé en Arabie saoudite.;;العربية;الْعَرَبِيَّةُ;l'arabe;;;257;F2K;
<b>بوب</b> صديقي;<b>بَوَّبَ</b> صَدِيقِيٌّ;Bob est mon ami.;;بوب;بَوَّبَ;Bob;;;258;F2K;
<b>يلعب</b> الحظ دورا هاما في الحياة;<b>يَلْعَبُ</b> الْحَظُّ دَوْرًا هَامَا فِي الْحَيَاةِ;La chance joue un rôle important dans la vie.;;يلعب;يَلْعَبُ;important;;;259;F2K;
أتذكر <b>طفولتي</b> بوضوح;أَتَذْكُرُ <b>طُفُولَتُي</b> بِوُضُوحٍ;J'ai un souvenir clair de mon enfance.;;طفولتي;طُفُولَتُي;j'ai;;;260;F2K;
إنه <b>طبيب</b>;إِنّهُ <b>طَبِيبَ</b>;Il est médecin.;;طبيب;طَبِيبٌ;médecin;;;261;F2K;
ماذا <b>تحب</b>؟;مَاذَا <b>تُحِبُّ</b> ؟;Qu'aimes-tu ?;;تحب;تُحِبُّ;Qu'aimes-tu;;;262;F2K;
لديه <b>عائلة</b> كعصير;لَدَيْهُ <b>عَائِلَةً</b> كَعَصِيرٍ;Il a une grande famille.;;عائلة;عَائِلَةٌ;famille;;;263;F2K;
<b>شاهد</b> توم التلفاز بالأمس;<b>شَاهَدَ</b> تُومَ التِّلْفَازِ بِالْأَمْسِ;Tom a regardé la télé hier.;;شاهد;شَاهِدٌ;regardé;;;264;F2K;
<b>ينبغي</b> أن تبدأَ أبكر ما يمكنك;<b>يَنْبَغِي</b> أَن تَبْدَأَ أَبِكَرٍّ مَا يُمْكِنُكَ;Tu devrais commencer aussi tôt que possible.;;ينبغي;يَنْبَغِي;commencer;;;265;F2K;
<b>وقد</b> أسعدتهم فكرة إرسالهم إلى الخارج;<b>وَقُدْ</b> أَسْعُدَتَهُمْ فَكُرَةَ إِرْسَالِهِمْ إِلَى الْخَارِجِ;L'idée même d'être envoyés à l'étranger les ravissait.;;وقد;وقَد;L'idée;;;266;F2K;
<b>نأسف</b> لوفاته;<b>نَأْسَفُ</b> لِوَفَاتَهُ;Nous regrettons sa mort.;;نأسف;نَأْسَفُ;mort;;;267;F2K;
أنا <b>مشغول</b> جداً;أَنَا <b>مَشْغُولِ</b> جِدًّا;Je suis très occupé.;;مشغول;مَشْغُولٌ;occupé;;;268;F2K;
<b>أنتظر</b> أخبارا سعيدة منهم;<b>أَنْتَظِرُ</b> أَخَبَارًا سَعِيدَةً مِنهُمْ;J'attendais des bonnes nouvelles de leur part.;;أنتظر;أَنْتَظِرُ;des;;;269;F2K;
<b>وقت</b> استراحتنا يمتد من 10h40 إلى 11h00;<b>وَقْتَ</b> اِسْتِرَاحَتِنَا يَمْتَدُّ مِن 10h40 إِلَى 11h00;Nous avons une pause de 10 h 40 à 11 h 00.;;وقت;وَقْتَ;de;;;270;F2K;
انه <b>يأكل</b> الكثير;اِنْهَ <b>يَأْكُلُ</b> الْكَثِيرَ;Il mange beaucoup.;;يأكل;يَأْكُلُ;mange;;;271;F2K;
<b>تدخل</b> فيما كنت أقوم به;<b>تَدَخُّلٌ</b> فِيمَا كَنَّتْ أَقْوَمُ بِه;Il s'est mêlé de ce que je faisais.;;تدخل;تَدْخُلُ;s'est;;;272;F2K;
<b>لينكس</b> هو نظام تشغيل حر؛ أنصحك بتجريبه !;<b>لِيَنْكُسُ</b> هُو نِظَامِ تَشْغِيلِ حُرِّ ؛ أَنَصَحَكَ بِتَجْرِيبِهِ;"Linux est un système d'exploitation libre ; tu devrais l'essayer.";;لينكس;لِيَنْكُسُ;Linux;;;273;F2K;
هناك <b>مستشفى</b> بالقرب من هنا;هُنَاك <b>مُسْتَشْفًى</b> بِالْقُرْبِ مِن هُنَا;Il y a un hôpital près d'ici.;;مستشفى;مُسْتَشْفًى;hôpital;;;274;F2K;
إن <b>أردت</b> أن يحبك الناس فأحببه;إِنّ <b>أَرَدْتُ</b> أَن يُحِبُّكَ النَّاسُ فَأَحْبِبْهُ;Si tu veux être aimé, aime !;;أردت;أَرَدْتُ;aimé;;;275;F2K;
<b>درّسني</b> التاريخ;<b>دَرَّسَنِي</b> التَّارِيخُ;Il m'a appris l'histoire.;;درّسني;دَرَّسَنِي;l'histoire;;;276;F2K;
<b>شك</b> المحامي في براءته;<b>شَكُّ</b> الْمُحَامِي فِي برَاءَتِهِ;L'avocat doutait de son innocence.;;شك;شَكٌّ;L'avocat;;;277;F2K;
<b>القلم</b> مكسور;<b>الْقَلَمُ</b> مَكْسُورٌ;Le stylo est cassé.;;القلم;الْقَلَمُ;cassé;;;278;F2K;
أين <b>ذهب</b>؟;أَيْن <b>ذَهَبٍ</b> ؟;Où est-il allé ?;;ذهب;ذَهَبَ;est-il;;;279;F2K;
لا <b>تفتح</b> الباب;لَا <b>تَفْتَحُ</b> الْبَابَ;N'ouvrez pas la porte !;;تفتح;تَفْتَحُ;n'ouvrez;;;280;F2K;
لا تفتح <b>الباب</b>;لَا تَفْتَحُ <b>الْبَابَ</b>;N'ouvre pas la porte !;;الباب;الْبَابُ;porte;;;281;F2K;
أنا في <b>بيت</b> جديد;أَنَا فِي <b>بَيْتِ</b> جَديدٍ;Je suis dans une nouvelle maison.;;بيت;بَيْتٌ;maison;;;282;F2K;
أحب <b>اللّغة</b> العربية;أَحُبُّ <b>اللُّغَةِ</b> الْعَرَبِيَّةِ;J'adore l'arabe.;;اللّغة;اللُّغَةُ;j'adore;;;283;F2K;
<b>أعد</b> الكتاب إلى صاحبه;<b>أَعْدُ</b> الْكِتَابَ إِلَى صَاحِبِهِ;Rends le livre à son propriétaire.;;أعد;أَعِدْ;Rends;;;284;F2K;
لديّ <b>عشرة</b> أقلام;لُدِّيُّ <b>عُشُرَةِ</b> أَقْلَاَمٍ;J'ai dix stylos.;;عشرة;عُشُرَةٌ;dix;;;285;F2K;
لا <b>أشك</b>ّ لحظة في صدقك;لَا <b>أَشَكَّ</b> لَحْظَةُ فِي صِدْقِكَ;Je ne doute pas un seul instant de votre sincérité.;;أشكّ;أَشَكٌّ;doute;;;286;F2K;
<b>أدخله</b>;<b>أَدَخَلَهُ</b>;Fais-le entrer.;;أدخله;أَدَخَلَهُ;Fais-le;;;287;F2K;
<b>كيف</b> لي أن أعرف؟;<b>كَيْف</b> لِي أَنّ أعْرَفِ ؟;Comment je peux savoir ?;;كيف;كَيْف;Comment;;;288;F2K;
إنه <b>دورك</b>;إِنّهُ <b>دَوْرَكَ</b>;À ton tour.;;دورك;دَوَّرَكَ;ton;;;289;F2K;
<b>نسيت</b> أن أسأله;<b>نَسِيَتْ</b> أَنّ أَسَأَلَهُ;J'ai oublié de lui demander.;;نسيت;نَسِيَتْ;oublié;;;290;F2K;
<b>الولد</b> عطشان;<b>الْوَلَدُ</b> عَطْشَانُ;Le garçon a soif.;;الولد;الْوَلَدُ;garçon;;;291;F2K;
<b>لونه</b> أحمر;<b>لَوْنُهُ</b> أحْمَرُ;Sa couleur est le rouge.;;لونه;لَوَّنَهُ;sa;;;292;F2K;
الجو <b>بارد</b>;الْجَوُّ <b>بَارِدٌ</b>;Le temps est froid.;;بارد;بَارِدٌ;temps;;;293;F2K;
<b>سأوصلك</b> إلى المطار;<b>سَأُوصِلُكَ</b> إِلَى الْمَطَارِ;Je te conduirai à l'aéroport.;;سأوصلك;سَأُوصِلُكَ;conduirai;;;294;F2K;
أنا في المطار <b>الآن</b>;أَنَا فِي الْمَطَارِ <b>الْآن</b>;Je suis maintenant à l'aéroport.;;الآن;الْآن;maintenant;;;295;F2K;
فقدت <b>الوعي</b>;فَقُدْتُ <b>الْوَعْي</b>;Je perdis connaissance.;;الوعي;الْوَعْي;connaissance;;;296;F2K;
أين وُلِدَ <b>توم</b>؟;أَيْنٌ وُلِدَ <b>تُومٌ</b> ؟;Où est né Tom ?;;توم;تُومٌ;Tom;;;297;F2K;
هل هذه <b>المعلومة</b> صحيحة؟;هَل هَذِه <b>الْمَعْلُومَةُ</b> صَحِيحَةٌ ؟;Cette information est-elle correcte ?;;المعلومة;الْمَعْلُومَةُ;information;;;298;F2K;
هذا <b>أجمل</b>;هَذَا <b>أَجْمَلُ</b>;Celui-ci est plus joli.;;أجمل;أَجْمَلَ;Celui-ci;;;299;F2K;
<b>الأسود</b> لي;<b>الْأُسودُ</b> لِي;Le noir est à moi.;;الأسود;الْأُسودُ;noir;;;300;F2K;
أريد أن <b>أقول</b> لك شيئاً;أُرِيدُ أَنّ <b>أَقُولُ</b> لَك شَيْئًا;Je veux te dire quelque chose.;;أقول;أَقُولُ;quelque;;;301;F2K;
لم يصدّق <b>أحد</b> قصّته;لَم يُصَدِّقُ <b>أحَدُ</b> قِصَّتِهِ;Personne ne crut son histoire.;;أحد;أَحَدٌّ;Personne;;;302;F2K;
هل <b>ستساعدني</b>؟;هَل <b>سَتُسَاعِدُنِي</b> ؟;M'aideras-tu ?;;ستساعدني;سَتُسَاعِدُنِي;M'aideras-tu;;;303;F2K;
كان ذلك <b>أمله</b> الوحيد;كَان ذَلِك <b>أَمَلِهِ</b> الْوَحِيدِ;C'était son unique espoir.;;أمله;أَمَلَهُ;son;;;304;F2K;
كان ذلك أمله <b>الوحيد</b>;كَان ذَلِك أَمَلِهِ <b>الْوَحِيدِ</b>;Ça a été son seul espoir.;;الوحيد;الْوَحِيدُ;seul;;;305;F2K;
هذه <b>الساعة</b> أفضل من تلك;هَذِه <b>السَّاعَةِ</b> أَفَضْلٌ مِن تِلْك;Cette montre-ci est meilleure que celle-là.;;الساعة;السَّاعَةُ;que;;;306;F2K;
أعيش في <b>الطابق</b> الأرضي;أَعَيْشٌ فِي <b>الطَّابَقِ</b> الْأَرْضِيِّ;J'habite au rez-de-chaussée.;;الطابق;الطَّابَقُ;rez-de-chaussée;;;307;F2K;
<b>استمرت</b> الخطبة ثلاثين دقيقة;<b>اِسْتَمَرَّتْ</b> الْخُطْبَةُ ثَلَاثِينَ دَقيقَةً;Le discours a duré trente minutes.;;استمرت;اِسْتَمَرَّتْ;minutes;;;308;F2K;
<b>الحب</b> أعمى;<b>الْحُبُّ</b> أعْمَى;L'amour est aveugle.;;الحب;اِلْحَبْ;l'amour;;;309;F2K;
<b>أتحبني</b>؟;<b>أَتُحِبُّنِي</b> ؟;Est-ce que tu m'aimes ?;;أتحبني;أَتُحِبُّنِي;Est-ce;;;310;F2K;
لا أوافقك <b>الرأي</b>;لَا أَوَافَقَكَ <b>الرَّأْي</b>;Je ne suis pas d'accord avec toi.;;الرأي;الرَّأْي;toi;;;311;F2K;
لا <b>لست</b> نعساناً;لَا <b>لَسْت</b> نَعْسَاِنَا;Non, je n'ai pas sommeil.;;لست;لَسْت;pas;;;312;F2K;
لا ليس <b>حقا</b>;لَا لَيْس <b>حَقًّا</b>;Non, pas vraiment.;;حقا;حَقَا;vraiment;;;313;F2K;
لا <b>تأت</b> هنا;لَا <b>تَأَتٍّ</b> هُنَا;Ne viens pas ici !;;تأت;تَأَتَّ;viens;;;314;F2K;
لا <b>تتدخل</b>!;لَا <b>تَتَدَخَّلُ</b>;Ne t'immisce pas là-dedans !;;تتدخل;تَتَدَخَّلُ;là-dedans;;;315;F2K;
لست <b>سريعا</b>ً بما فيه الكفاية;لُسْتُ <b>سَرِيعًا</b> بِمَا فِيهِ الْكِفَايَةَ;Vous n'êtes pas assez rapide.;;سريعاً;سَرِيعَا;assez;;;316;F2K;
من <b>المهم</b> أن تتذكر من هم أصدقاؤك;مِن <b>الْمُهِمِّ</b> أَن تَتَذَكَّرُ مِن هُم أَصْدِقَاؤُكَ;Il est important de se rappeler de ses amis.;;المهم;اُلْمُهُمْ;important;;;317;F2K;
و <b>أخيرا</b>ً أتى;وْ <b>أَخِيرًا</b> أَتَى;Il est enfin venu.;;أخيراً;أَخِيرَا;enfin;;;318;F2K;
<b>ضميري</b> مرتاح;<b>ضَمِيرُي</b> مُرْتَاحٌ;J'ai la conscience tranquille.;;ضميري;ضَمِيرِيٌّ;j'ai;;;319;F2K;
<b>أيمكنني</b> أن أقول شيئاً؟;<b>أَيُمْكِنُنِي</b> أَنّ أَقُولُ شَيْئًا ؟;Est-ce que je peux dire quelque chose?;;أيمكنني;أَيُمْكِنُنِي;peux;;;320;F2K;
من <b>كسر</b> هذا؟;مِن <b>كَسْرِ</b> هَذَا ؟;Qui a cassé ceci ?;;كسر;كَسْرٌ;cassé;;;321;F2K;
من اخترع هذه <b>الآلة</b>؟;مَن اِخْتَرَعَ هَذِه <b>الْآلةِ</b> ؟;Qui a inventé cette machine ?;;الآلة;الْآلةُ;inventé;;;322;F2K;
<b>كلنا</b> نخطئ;<b>كُلّنَا</b> نُخْطِئُ;Nous faisons tous des erreurs.;;كلنا;كُلّنَا;erreurs;;;323;F2K;
<b>متى</b> تكون مشغولاً؟;<b>مَتَى</b> تَكَوُّنِ مَشْغُولًا ؟;Quand es-tu occupé ?;;متى;مَتَى;quand;;;324;F2K;
متى <b>استيقظت</b>؟;مَتَى <b>اِسْتَيْقَظَتْ</b> ؟;Quand est-ce que tu t'es levé ?;;استيقظت;اِسْتَيْقَظَتْ;levé;;;325;F2K;
متى <b>ستعود</b>؟;مَتَى <b>سَتَعُودُ</b> ؟;Tu rentres quand ?;;ستعود;سَتَعُودُ;rentres;;;326;F2K;
ماذا <b>تريد</b> أن تأكل؟;مَاذَا <b>تُرِيدُ</b> أَن تَأْكُلُ ؟;Que voulez-vous manger ?;;تريد;تُرِيدُ;manger;;;327;F2K;
ماذا تريد أن <b>تأكل</b>؟;مَاذَا تُرِيدُ أَن <b>تَأْكُلُ</b> ؟;Qu’est-ce que tu veux manger ?;;تأكل;تَأْكُلُ;manger;;;328;F2K;
<b>الحاسوب</b> جديد;<b>الْحَاسوبُ</b> جَدِيدٌ;L'ordinateur est neuf.;;الحاسوب;الْحَاسوبُ;l'ordinateur;;;329;F2K;
أين <b>غرفتك</b>؟;أَيْن <b>غُرْفَتِكَ</b> ؟;Où est ta chambre ?;;غرفتك;غَرَفَتْكَ;ta;;;330;F2K;
<b>سأذهب</b> معك;<b>سَأَذْهَبُ</b> مَعكَ;J'irai avec toi.;;سأذهب;سَأَذْهَبُ;j'irai;;;331;F2K;
<b>أقلعت</b> الطائرة في الساعة العاشرة بالضبط;<b>أَقْلَعَتْ</b> الطَّائِرَةُ فِي السَّاعَةِ الْعَاشِرَةِ بِالضَّبْطِ;L'avion a décollé à 10h précises.;;أقلعت;أَقْلَعَتْ;décollé;;;332;F2K;
إنه مشغول <b>بشيء</b> ما;إِنّهُ مَشْغُولَ <b>بِشَيْءٍ</b> مَا;Il est occupé à faire quelque chose.;;بشيء;بِشَيْءٍ;quelque;;;333;F2K;
إنه مشغول <b>بفعل</b> شيء ما;إِنّهُ مَشْغُولَ <b>بِفِعْلِ</b> شَيْءٍ مَا;Il est occupé à faire quelque chose.;;بفعل;بِفِعْلٍ;quelque;;;334;F2K;
<b>تزداد</b> جمالاً يوماً بعد يوم;<b>تَزْدَادُ</b> جَمَالَا يَوْمَا بَعْد يَوْمٍ;Elle devient de plus en plus jolie.;;تزداد;تَزْدَادُ;plus;;;335;F2K;
ما <b>ثمن</b> هذه القبّعة؟;مَا <b>ثَمَنِ</b> هَذِه الْقُبَّعَةِ ؟;Quel est le prix de cette casquette ?;;ثمن;ثَمَنٌ;prix;;;336;F2K;
لم أنت <b>وحدك</b>؟;لَم أَنْت <b>وَحْدِكَ</b> ؟;Pourquoi êtes-vous seule ?;;وحدك;وَحَدَّكَ;pourquoi;;;337;F2K;
هناك مستشفى <b>بالقرب</b> من هنا;هُنَاك مُسْتَشْفًى <b>بِالْقُرْبِ</b> مِن هُنَا;Il y a un hôpital près d'ici.;;بالقرب;بِالْقُرْبِ;il;;;338;F2K;
أيمكنك <b>كتابة</b> رسالة بالإنجليزية؟;أَيُمْكِنُكَ <b>كِتَابَةُ</b> رِسَالَةِ بَاْلَإَنَجَلَيْزَيْةْ ؟;Pouvez-vous écrire une lettre en anglais ?;;كتابة;كِتَابَةٌ;écrire;;;339;F2K;
أيمكنني <b>الدفع</b> عن طريق بطاقة الإئتمان؟;أَيُمْكِنُنِي <b>الدَّفْعُ</b> عَن طَرِيقِ بِطَاقَةِ اْلَإَئَتَمَاْنْ ؟;Puis-je payer par carte de crédit ?;;الدفع;الدَّفْعُ;payer;;;340;F2K;
انظر <b>خلفك</b>!;اُنْظُرْ <b>خَلْفكَ</b>;Regarde en arrière !;;خلفك;خَلْفكَ;Regarde;;;341;F2K;
شكراً <b>جزيلا</b>ً!;شُكْرَا <b>جَزِيلَا</b>;Merci beaucoup !;;جزيلاً;جَزِيلَا;beaucoup;;;342;F2K;
هل <b>تعرف</b> أين ساعتي؟;هَل <b>تَعَرُّفٍ</b> أَيْن سَاعَتِِي ؟;Tu ne sais pas où est ma montre ?;;تعرف;تَعْرُفُ;sais;;;343;F2K;
<b>كن</b> هادئاً وقت الدرس;<b>كَنَّ</b> هَادِئَا وَقْتِ الدَّرْسِ;Ne fais pas de bruit pendant le cours.;;كن;كَنَّ;sois;;;344;F2K;
<b>مع</b> من تريد أن تتحدث؟;<b>مَع</b> مَن تُرِيدُ أَن تَتَحَدَّثُ ؟;Avec qui veux-tu parler ?;;مع;مَع;avec;;;345;F2K;
<b>رأيتك</b> راكباً سيارتك الجديدة;<b>رَأْيَتُكَ</b> رَاكِبًا سَيَّارَتَكَ الْجَدِيدَةَ;Je t'ai vu au volant de ta nouvelle voiture.;;رأيتك;رَأَيْتُكَ;voiture;;;346;F2K;
يجب أن <b>أتعلم</b> العربية;يَجِبُ أَنّ <b>أَتَعَلَّمَ</b> الْعَرَبِيَّةَ;Je dois apprendre l'arabe.;;أتعلم;أَتَعْلَمُ;apprendre;;;347;F2K;
<b>عاملتها</b> كأنها بنتي;<b>عَامَلَتْهَا</b> كأَنّهَا بِنْتَي;Je l'ai traitée comme ma propre fille.;;عاملتها;عَامَلَتْهَا;fille;;;348;F2K;
تطلب <b>إقناعه</b> ألف ين فقط;تَطْلُبُ <b>إقْنَاعُهُ</b> أَلَّفَ يِنٌ فَقَط;Il a fallu seulement 1000 yen pour le convaincre.;;إقناعه;إقْنَاعُهُ;convaincre;;;349;F2K;
هل <b>تمتلك</b> كمبيوتر؟;هَل <b>تَمْتَلِكُ</b> كَمْبِيُوتِرٌ ؟;Possèdes-tu un ordinateur ?;;تمتلك;تَمْتَلِكُ;Possèdes-tu;;;350;F2K;
<b>إسمي</b> وانج;<b>إِسْمِي</b> وَاُنْجُ;Mon nom est Wang.;;إسمي;إِسْمِي;nom;;;351;F2K;
هل تلسع هذه <b>الحشرات</b>؟;هَل تَلْسَعُ هَذِه <b>الْحَشَرَاتِ</b> ؟;Ces insectes piquent-ils ?;;الحشرات;الْحَشَرَاتُ;insectes;;;352;F2K;
<b>ألا</b> تشعر بالبرد؟;<b>ألَا</b> تَشْعُرُ بِالْبَرْدِ ؟;N'as-tu pas froid ?;;ألا;ألَا;pas;;;353;F2K;
<b>أهلا</b>ً كيف حالك؟;<b>أهْلًا</b> كَيْف حَالِكَ ؟;Salut. Comment vas-tu ?;;أهلاً;أهْلَا;Salut;;;354;F2K;
<b>شرب</b> القليل;<b>شُرْبُ</b> الْقَلِيلِ;Il but peu.;;شرب;شُرْبٌ;but;;;355;F2K;
رأيته <b>يمزّق</b> الرسالة;رَأْيَتُهُ <b>يُمَزِّقُ</b> الرِّسَالَةُ;Je l'ai vu déchirer la lettre.;;يمزّق;يُمَزِّقُ;déchirer;;;356;F2K;
اليابان بلد <b>صناعي</b>;الْيَابَانُ بَلَدَ <b>صِنَاعَيْ</b>;Le Japon est un pays industrialisé.;;صناعي;صِنَاعِيٌّ;industrialisé;;;357;F2K;
ما <b>جنسيته</b>؟;مَا <b>جِنْسِيَّتِهِ</b> ؟;Quelle est sa nationalité ?;;جنسيته;جِنْسِيَّتُهُ;sa;;;358;F2K;
<b>اِكتب</b> عنوانك هنا;<b>اِكْتِبْ</b> عُنْوَانَكَ هُنَا;Écrivez votre adresse ici.;;اِكتب;اِكْتِبْ;écrivez;;;359;F2K;
بوب <b>صديقي</b>;بَوَّبَ <b>صَدِيقِيٌّ</b>;Bob est mon ami.;;صديقي;صَدِيقِيٌّ;ami;;;360;F2K;
أنا <b>معك</b>;أَنَا <b>مَعكَ</b>;Je suis avec vous.;;معك;مَعكَ;avec;;;361;F2K;
ذلك الولد <b>يركض</b>;ذَلِك الْوَلَدِ <b>يَرْكُضُ</b>;Ce garçon court.;;يركض;يَرْكُضُ;court;;;362;F2K;
<b>أتى</b> الولد راكضاً;<b>أَتَى</b> الْوَلَدُ رَاكِضًا;Le garçon est arrivé en courant.;;أتى;أَتَى;est;;;363;F2K;
<b>وجد</b> دراجتي الضائعة;<b>وَجَدَ</b> دَرَّاجَتُي الضَّائِعَةُ;Il a trouvé mon vélo.;;وجد;وَجَدَ;trouvé;;;364;F2K;
أنا <b>بطل</b>;أَنَا <b>بَطَلٍ</b>;Je suis un héros.;;بطل;بَطَلٌ;héros;;;365;F2K;
<b>البارحة</b> كان يوم الخميس;<b>الْبَارِحَةُ</b> كَان يَوْمِ الْخَمِيسِ;Hier, c'était jeudi.;;البارحة;الْبَارِحَةُ;hier;;;366;F2K;
إشتريت كتاباً <b>بالأمس</b>;إَشَتَرَيْتْ كِتَابًا <b>بِالْأَمْسِ</b>;Hier, j'ai acheté un livre.;;بالأمس;بِالْأَمْسِ;hier;;;367;F2K;
كنت <b>أشاهد</b> التلفاز حينها;كَنَّتْ <b>أَشَاهِدَ</b> التِّلْفَازِ حِينهَا;À ce moment, je regardais la télé.;;أشاهد;أَشَاهِدٌ;regardais;;;368;F2K;
<b>شتمني</b> من دون سبب;<b>شَتَّمَنِي</b> مِن دُون سَبَبٍ;Il m'a insulté sans raison.;;شتمني;شَتَّمَنِي;m'a;;;369;F2K;
<b>لعبنا</b> كرة القدم بالأمس;<b>لِعِبْنَا</b> كُرَةَ الْقَدَمِ بِالْأَمْسِ;Nous avons joué au foot hier.;;لعبنا;لَعِبْنَا;joué;;;370;F2K;
أعزف <b>لشوبان</b>;أَعَزَفَ <b>لِشُوبَان</b>;Je joue du Chopin.;;لشوبان;لِشُوبَان;chopin;;;371;F2K;
