SentBase;SentFull;SentFrench;SentAudio;VocabBase;VocabFull;VocabDef;VocabAudio;Image;Focus;Tags;Note
<b>رمضان</b> قريب;<b>رَمَضَانُ</b> قَرِيبٌ;Ramadan approche.;[sound:49_ramadan_sentBase.mp3];رمضان;رَمَضَانُ;Ramadan;[sound:49_ramadan_vocabBase.mp3];"<img src=""49_ramadan.avif"">";49;F2K;"mois important;"
<b>العيد</b> جميل;<b>الْعِيدُ</b> جَمِيلٌ;L'Aïd est une belle fête.;[sound:50_aid_sentBase.mp3];العيد;الْعِيدُ;Aïd;[sound:50_aid_vocabBase.mp3];"<img src=""50_aid.avif"">";50;F2K;"fête;"
أنا في <b>الرياض</b>;أَنَا فِي <b>الرِّيَاضِ</b>;Je suis à Riyad.;[sound:51_riyad_sentBase.mp3];الرياض;الرِّيَاضُ;Riyad;[sound:51_riyad_vocabBase.mp3];"<img src=""51_riyad.avif"">";51;F2K;"ville;"
أنا في <b>المدينة</b>;أَنَا فِي <b>الْمَدِينَةِ</b>;Je suis à Médine.;[sound:52_medine_sentBase.mp3];المدينة;الْمَدِينَةُ;Médine;[sound:52_medine_vocabBase.mp3];"<img src=""52_medine.avif"">";52;F2K;"ville;"
أين <b>الحمام</b>؟;أَيْنَ <b>الْحَمَّامُ</b>؟;Où sont les toilettes ?;[sound:53_toilettes_sentBase.mp3];الحمام;الْحَمَّامُ;toilettes;[sound:53_toilettes_vocabBase.mp3];"<img src=""53_toilettes.avif"">";53;F2K;"mot utile;"
أين <b>السوق</b>؟;أَيْنَ <b>السُّوقُ</b>؟;Où est le marché ?;[sound:54_marche_sentBase.mp3];السوق;السُّوقُ;marché;[sound:54_marche_vocabBase.mp3];"<img src=""54_marche.avif"">";54;F2K;"lieu;"
أريد <b>خبزا</b>;أُرِيدُ <b>خُبْزًا</b>;Je veux du pain.;[sound:55_pain_sentBase.mp3];خبز;خُبْزٌ;pain;[sound:55_pain_vocabBase.mp3];"<img src=""55_pain.avif"">";55;F2K;"nourriture;"
أريد <b>قهوة</b>;أُرِيدُ <b>قَهْوَةً</b>;Je veux un café.;[sound:56_cafe_sentBase.mp3];قهوة;قَهْوَةٌ;café;[sound:56_cafe_vocabBase.mp3];"<img src=""56_cafe.avif"">";56;F2K;"boisson;"
أحب <b>القهوة</b>;أُحِبُّ <b>الْقَهْوَةَ</b>;J'aime le café.;[sound:57_cafe_sentBase.mp3];القهوة;الْقَهْوَةُ;café;[sound:57_cafe_vocabBase.mp3];"<img src=""57_cafe.avif"">";57;F2K;"boisson;"
عندي <b>وقت</b>;عِنْدِي <b>وَقْتٌ</b>;J'ai du temps.;[sound:58_temps_sentBase.mp3];وقت;وَقْتٌ;temps;[sound:58_temps_vocabBase.mp3];"<img src=""58_temps.avif"">";58;F2K;"mot courant;"
